codigo,codigo_departamento,nombre
5206,5,CONCEPCIÓN
68207,68,CONCEPCIÓN
5209,5,CONCORDIA
47205,47,CONCORDIA
27205,27,CONDOTO
68209,68,CONFINES
52207,52,CONSACA
52210,52,CONTADERO
68211,68,CONTRATACIÓN
54206,54,CONVENCIÓN
5212,5,COPACABANA
15212,15,COPER
13212,13,CÓRDOBA
52215,52,CÓRDOBA
63212,63,CÓRDOBA
19212,19,CORINTO
68217,68,COROMORO
70215,70,COROZAL
15215,15,CORRALES
25214,25,COTA
23300,23,COTORRA
15218,15,COVARACHÍA
70221,70,COVEÑAS
73217,73,COYAIMA
81220,81,CRAVO NORTE
52224,52,CUASPUD
15223,15,CUBARÁ
50223,50,CUBARRAL
15224,15,CUCAITA
25224,25,CUCUNUBÁ
54001,54,CÚCUTA
54223,54,CUCUTILLA
15226,15,CUÍTIVA
50226,50,CUMARAL
99773,99,CUMARIBO
52227,52,CUMBAL
52233,52,CUMBITARA
73226,73,CUNDAY
18205,18,CURILLO
68229,68,CURITÍ
20228,20,CURUMANÍ
5234,5,DABEIBA
76233,76,DAGUA
44090,44,DIBULA
44098,44,DISTRACCIÓN
73236,73,DOLORES
5237,5,DON MATÍAS
66170,66,DOSQUEBRADAS
15238,15,DUITAMA
54239,54,DURANIA
5240,5,EBÉJICO
76243,76,EL ÁGUILA
5250,5,EL BAGRE
47245,47,EL BANCO
76246,76,EL CAIRO
50245,50,EL CALVARIO
27135,27,EL CANTÓN DEL SAN PABLO
54245,54,EL CARMEN
27245,27,EL CARMEN DE ATRATO
13244,13,EL CARMEN DE BOLÍVAR
68235,68,EL CARMEN DE CHUCURÍ
5148,5,EL CARMEN DE VIBORAL
50251,50,EL CASTILLO
76248,76,EL CERRITO
52250,52,EL CHARCO
15244,15,EL COCUY
25245,25,EL COLEGIO
20238,20,EL COPEY
18247,18,EL DONCELLO
50270,50,EL DORADO
76250,76,EL DOVIO
91263,91,EL ENCANTO
15248,15,EL ESPINO
68245,68,EL GUACAMAYO
13248,13,EL GUAMO
27250,27,EL LITORAL DEL SAN JUAN
44110,44,EL MOLINO
20250,20,EL PASO
18256,18,EL PAUJIL
52254,52,EL PEÑOL
13268,13,EL PEÑÓN
25258,25,EL PEÑÓN
68250,68,EL PEÑÓN
47258,47,EL PIÑON
68255,68,EL PLAYÓN
47268,47,EL RETÉN
95025,95,EL RETORNO
70233,70,EL ROBLE
25260,25,EL ROSAL
52256,52,EL ROSARIO
5697,5,EL SANTUARIO
52258,52,EL TABLÓN DE GÓMEZ
19256,19,EL TAMBO
52260,52,EL TAMBO
54250,54,EL TARRA
54261,54,EL ZULIA
41244,41,ELÍAS
68264,68,ENCINO
68266,68,ENCISO
5264,5,ENTRERRIOS
5266,5,ENVIGADO
73268,73,ESPINAL
25269,25,FACATATIVÁ
73270,73,FALAN
17272,17,FILADELFIA
63272,63,FILANDIA
15272,15,FIRAVITOBA
73275,73,FLANDES
18001,18,FLORENCIA
19290,19,FLORENCIA
15276,15,FLORESTA
68271,68,FLORIÁN
76275,76,FLORIDA
68276,68,FLORIDABLANCA
25279,25,FOMEQUE
44279,44,FONSECA
81300,81,FORTUL
25281,25,FOSCA
52520,52,FRANCISCO PIZARRO
5282,5,FREDONIA
73283,73,FRESNO
5284,5,FRONTINO
50287,50,FUENTE DE ORO
47288,47,FUNDACIÓN
52287,52,FUNES
25286,25,FUNZA
25288,25,FÚQUENE
25290,25,FUSAGASUGÁ
25293,25,GACHALA
25295,25,GACHANCIPÁ
15293,15,GACHANTIVÁ
25297,25,GACHETÁ
68296,68,GALÁN
8296,8,GALAPA
70235,70,GALERAS
25299,25,GAMA
20295,20,GAMARRA
68298,68,GAMBITA
15296,15,GAMEZA
15299,15,GARAGOA
41298,41,GARZÓN
63302,63,GÉNOVA
41306,41,GIGANTE
76306,76,GINEBRA
5306,5,GIRALDO
25307,25,GIRARDOT
5308,5,GIRARDOTA
68307,68,GIRÓN
5310,5,GÓMEZ PLATA
20310,20,GONZÁLEZ
54313,54,GRAMALOTE
5313,5,GRANADA
25312,25,GRANADA
50313,50,GRANADA
68318,68,GUACA
15317,15,GUACAMAYAS
76318,76,GUACARÍ
19300,19,GUACHENÉ
25317,25,GUACHETÁ
52317,52,GUACHUCAL
76111,76,GUADALAJARA DE BUGA
5315,5,GUADALUPE
41319,41,GUADALUPE
68320,68,GUADALUPE
25320,25,GUADUAS
52320,52,GUAITARILLA
52323,52,GUALMATÁN
47318,47,GUAMAL
50318,50,GUAMAL
73319,73,GUAMO
19318,19,GUAPI
68322,68,GUAPOTÁ
70265,70,GUARANDA
5318,5,GUARNE
25322,25,GUASCA
5321,5,GUATAPÉ
25324,25,GUATAQUÍ
25326,25,GUATAVITA
15322,15,GUATEQUE
66318,66,GUÁTICA
68324,68,GUAVATÁ
25328,25,GUAYABAL DE SIQUIMA
25335,25,GUAYABETAL
15325,15,GUAYATÁ
68327,68,GÜEPSA
15332,15,GÜICÁN
25339,25,GUTIÉRREZ
54344,54,HACARÍ
13300,13,HATILLO DE LOBA
68344,68,HATO
85125,85,HATO COROZAL
